,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Up,Down,Left,Right
129,256,16,4,0,2,4,2,0,8,0,0,0,4,0,0,0,1,0,0,0
130,256,16,4,0,2,4,4,0,8,0,0,0,4,0,0,0,1,0,0,0
131,256,16,8,2,2,4,0,0,8,0,0,0,4,0,0,0,1,0,0,0
132,256,16,8,2,0,2,4,2,0,0,0,8,0,0,0,4,0,0,0,1
133,256,16,8,4,0,4,4,8,0,0,0,4,0,0,0,0,1,0,0,0
134,256,16,8,4,0,0,8,8,0,0,2,4,0,0,0,0,0,0,0,1
135,256,16,16,4,0,2,2,8,0,0,0,4,0,0,0,0,1,0,0,0
136,256,32,4,0,4,8,0,0,4,0,0,0,4,0,0,0,0,0,1,0
137,256,32,4,0,8,8,2,0,4,0,0,0,0,0,0,0,1,0,0,0
138,256,32,4,0,16,2,0,0,4,0,0,0,2,0,0,0,0,0,1,0
139,256,32,4,0,16,2,2,0,4,0,0,0,2,0,0,0,1,0,0,0
140,256,32,4,0,16,4,0,0,4,2,0,0,2,0,0,0,0,0,1,0
141,256,32,4,0,16,4,0,0,4,4,0,0,2,0,0,0,1,0,0,0
142,256,32,4,2,16,8,0,0,4,0,0,0,2,0,0,0,1,0,0,0
143,256,32,4,4,16,8,0,0,4,0,0,0,2,0,0,0,1,0,0,0
144,256,32,8,0,16,8,0,0,4,0,0,0,4,0,0,0,0,0,1,0
145,256,32,8,2,16,8,0,0,8,0,0,0,0,0,0,0,1,0,0,0
146,256,32,8,2,16,8,2,0,8,0,0,0,0,0,0,0,1,0,0,0
147,256,32,8,2,16,8,4,0,8,0,0,0,0,0,0,0,1,0,0,0
148,256,32,8,2,16,8,4,0,8,0,2,0,0,0,0,0,1,0,0,0
149,256,32,8,2,16,8,4,0,8,4,0,0,0,0,0,0,0,0,1,0
150,256,32,8,2,0,16,8,4,0,0,8,4,0,0,0,2,0,0,0,1
151,256,32,16,2,2,16,8,8,0,0,0,2,0,0,0,0,1,0,0,0
152,256,32,16,2,0,2,16,16,0,0,0,2,0,0,0,2,0,0,0,1
153,256,32,32,2,0,2,2,16,0,0,0,4,0,0,0,0,1,0,0,0
154,256,64,2,0,4,16,0,0,2,4,0,0,0,0,0,0,0,0,1,0
155,256,64,2,0,4,16,0,0,2,8,0,0,0,0,0,0,0,0,1,0
156,256,64,4,0,4,16,0,0,2,8,0,0,0,0,0,0,1,0,0,0
157,256,64,4,2,0,0,4,16,0,0,2,8,0,0,0,0,0,0,0,1
158,256,64,8,2,0,2,2,16,0,0,0,8,0,0,0,0,1,0,0,0
159,256,64,8,2,4,16,0,0,2,8,0,0,0,0,0,0,0,0,1,0
160,256,64,8,2,4,16,2,0,2,8,0,0,0,0,0,0,0,0,1,0
161,256,64,8,4,4,16,2,0,2,8,0,0,0,0,0,0,1,0,0,0
162,256,64,8,4,4,16,2,2,2,8,0,0,0,0,0,0,1,0,0,0
163,256,64,8,4,0,4,16,4,0,0,2,8,0,0,0,4,0,0,0,1
164,256,64,8,8,2,4,16,8,0,0,2,4,0,0,0,0,1,0,0,0
165,256,64,16,0,2,4,16,8,2,4,0,0,2,0,0,0,0,0,1,0
166,256,64,32,2,4,8,0,8,2,0,0,0,0,0,0,0,1,0,0,0
167,256,64,32,2,4,8,2,8,2,0,0,0,0,0,0,0,1,0,0,0
168,256,64,32,2,4,8,4,8,2,0,0,0,0,0,0,0,1,0,0,0
169,256,64,32,2,4,8,4,8,4,0,0,0,0,0,0,0,0,0,1,0
170,256,64,32,2,8,8,4,8,0,0,2,0,0,0,0,0,1,0,0,0
171,256,64,32,2,16,4,8,0,2,0,0,0,2,0,0,0,0,0,1,0
172,256,64,32,2,16,4,8,0,4,0,0,0,2,0,0,0,0,0,1,0
173,256,64,32,2,16,4,8,0,4,0,2,0,2,0,0,0,1,0,0,0
174,256,64,32,4,16,4,8,0,4,0,2,0,2,0,0,0,1,0,0,0
175,256,64,32,4,16,4,8,2,4,0,2,0,2,0,0,0,1,0,0,0
176,256,64,32,4,16,4,8,4,4,0,2,0,2,0,0,0,1,0,0,0
177,256,64,32,8,16,4,8,2,4,0,2,0,2,0,0,0,1,0,0,0
178,256,64,32,8,16,4,8,2,4,2,2,0,2,0,0,0,1,0,0,0
179,256,64,32,8,16,4,8,2,4,4,0,0,4,0,0,0,0,0,1,0
180,256,64,32,8,16,8,8,4,8,0,0,0,0,0,0,0,1,0,0,0
181,256,64,32,8,0,16,16,4,0,0,0,8,0,0,0,2,0,0,0,1
182,256,64,32,8,0,0,32,4,0,0,0,8,0,0,0,4,0,0,0,1
183,256,64,64,8,0,2,0,4,0,0,0,8,0,0,0,4,1,0,0,0
184,256,128,8,0,2,4,0,0,2,8,0,0,4,0,0,0,0,0,1,0
185,256,128,8,2,4,4,0,0,4,8,0,0,0,0,0,0,1,0,0,0
186,256,128,8,2,8,0,0,0,4,8,0,0,2,0,0,0,0,0,1,0
187,256,128,8,2,8,8,2,0,4,0,0,0,2,0,0,0,1,0,0,0
188,256,128,8,4,8,8,2,0,4,0,0,0,2,0,0,0,1,0,0,0
189,256,128,8,4,0,0,16,2,0,0,0,4,0,0,0,4,0,0,0,1
190,256,128,8,4,16,2,0,0,4,0,0,0,2,4,0,0,0,0,1,0
191,256,128,8,4,16,2,4,0,4,4,0,0,2,0,0,0,1,0,0,0
192,256,128,8,4,0,16,2,4,0,0,8,2,0,0,0,2,0,0,0,1
193,256,128,8,8,2,16,2,4,0,0,8,0,0,0,0,0,1,0,0,0
194,256,128,16,0,2,16,2,4,8,4,0,0,0,0,0,0,0,0,1,0
195,256,128,16,4,2,16,2,0,8,4,4,0,0,0,0,0,1,0,0,0
196,256,128,16,4,0,2,16,2,0,0,8,8,0,0,0,2,0,0,0,1
197,256,128,32,4,0,4,8,2,0,0,0,8,0,0,0,2,1,0,0,0
198,256,128,32,4,4,8,2,0,2,8,0,0,2,0,0,0,0,0,1,0
199,256,128,32,4,4,16,2,2,4,0,0,0,0,0,0,0,1,0,0,0
200,256,128,32,4,0,4,16,4,0,0,4,2,0,0,0,0,0,0,0,1
201,256,128,32,8,2,4,16,2,0,0,4,0,0,0,0,0,1,0,0,0
202,256,128,32,8,2,4,16,2,4,0,0,0,2,0,0,0,0,0,1,0
203,256,128,32,8,2,4,16,2,0,0,4,2,0,0,0,2,0,0,0,1
204,256,128,32,8,4,4,16,4,0,0,4,2,0,0,0,0,1,0,0,0
205,256,128,32,8,8,16,4,0,4,2,0,0,4,0,0,0,0,0,1,0
206,256,128,32,8,0,8,16,4,0,0,4,4,0,0,0,4,0,0,0,1
207,256,128,32,8,2,8,16,8,0,0,4,4,0,0,0,0,1,0,0,0
208,256,128,32,16,4,8,16,4,0,0,4,0,0,0,0,0,1,0,0,0
209,256,128,32,16,4,8,16,4,0,0,0,4,0,0,0,2,0,0,0,1
210,256,128,32,16,4,8,16,8,2,0,0,2,0,0,0,0,1,0,0,0
211,256,128,32,16,4,8,16,8,0,0,2,4,0,0,0,0,0,0,0,1
212,256,128,32,16,4,8,16,8,2,4,0,0,2,0,0,0,0,0,1,0
213,256,128,32,16,4,8,16,8,4,4,2,0,0,0,0,0,1,0,0,0
214,256,128,32,16,4,8,16,8,0,0,8,4,0,0,0,0,0,0,0,1
215,256,128,32,16,4,8,16,8,8,4,0,0,2,0,0,0,0,0,1,0
216,256,128,32,16,4,8,16,8,8,4,2,0,2,0,0,0,1,0,0,0
217,256,128,32,16,4,8,16,8,8,4,4,0,2,0,0,0,1,0,0,0
218,256,128,32,16,4,8,16,8,0,8,8,2,0,0,0,2,0,0,0,1
219,256,128,32,16,4,16,16,8,2,0,8,4,0,0,0,0,1,0,0,0
220,256,128,32,16,0,4,32,8,0,2,8,4,0,0,0,2,0,0,0,1
221,256,128,64,16,2,4,8,8,0,2,0,4,0,0,0,2,1,0,0,0
222,256,128,64,16,0,2,4,16,0,0,4,4,0,0,0,2,0,0,0,1
223,256,128,64,32,0,4,8,4,0,0,0,2,0,0,0,0,1,0,0,0
224,256,128,64,32,0,4,8,4,0,0,0,4,0,0,0,0,0,0,0,1
225,256,128,64,32,2,4,8,8,0,0,0,0,0,0,0,0,1,0,0,0
226,256,128,64,32,0,2,4,16,0,0,0,0,0,0,0,2,0,0,0,1
227,256,128,64,32,2,2,4,16,0,0,0,2,0,0,0,0,1,0,0,0
228,256,128,64,32,2,4,4,16,0,0,0,2,0,0,0,0,1,0,0,0
229,256,128,64,32,0,2,8,16,0,0,0,4,0,0,0,0,0,0,0,1
230,256,128,64,32,2,8,16,0,4,0,0,0,2,0,0,0,0,0,1,0
231,256,128,64,32,2,8,16,2,4,0,0,0,2,0,0,0,1,0,0,0
232,256,128,64,32,2,8,16,2,4,2,0,0,2,0,0,0,1,0,0,0
233,256,128,64,32,2,8,16,4,4,2,0,0,2,0,0,0,1,0,0,0
234,256,128,64,32,2,8,16,4,4,2,2,0,2,0,0,0,1,0,0,0
235,256,128,64,32,2,8,16,4,0,0,4,4,0,0,2,4,0,0,0,1
236,256,128,64,32,4,8,16,8,0,0,4,4,0,0,2,0,1,0,0,0
237,256,128,64,32,4,8,16,8,0,0,2,8,0,0,0,2,0,0,0,1
238,256,128,64,32,4,8,16,16,0,0,4,2,0,0,0,0,1,0,0,0
239,256,128,64,32,0,4,8,32,0,2,4,2,0,0,0,0,0,0,0,1
240,256,128,64,64,2,4,8,2,0,2,4,0,0,0,0,0,1,0,0,0
241,256,128,128,0,2,4,8,2,2,4,0,0,2,0,0,0,0,0,1,0
242,256,256,0,0,2,4,8,2,2,8,0,0,2,0,0,0,0,0,1,0
243,512,0,0,0,2,4,8,2,2,8,0,0,4,0,0,0,0,0,1,0
244,512,4,8,4,4,8,0,0,4,0,0,0,0,0,0,0,1,0,0,0
245,512,4,8,4,8,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0
246,512,4,8,4,16,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0
247,512,8,8,4,16,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0
248,512,16,4,0,16,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0
249,512,16,4,2,16,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0
